prompt,category
Describe the craziest night you’ve gone out. What was the craziest thing you saw?,The Society Room
Who is in your dream blunt rotation?,The Society Room
What’s your party trick?,The Society Room
What’s the worst way to start a conversation at a party? What’s the best?,The Society Room
Michelle Obama is coming over. What snacks are you buying at 7/11?,The Society Room
"The band Lynyrd Skynyrd was named after their 7th grade gym teacher. By that logic, what would your band name be? What instrument would you play?",FIDLAR Swift
"For people who do not normally listen to music like that of Fidlar, it can be a little overwhelming. To accommodate for this, let’s do a round of Fishbowl from no-words to a sentence to re-adjust them to noise (if pen and paper are not available, then skip).",FIDLAR Swift
"People who do not normally listen to Taylor Swift are often scared of Swifties because of their intensely weird, paranormal relationships with the popstar. And, they should be. Name 7 Taylor Swift songs or take 3 drinks.",FIDLAR Swift
What was your emo song growing up that made you feel misunderstood as you wistfully looked out the window on the way to school?,FIDLAR Swift
What would your parents play for music in the car? What was one song that would not get off the radio (eg. anything by Maroon 5)?,FIDLAR Swift
What is your craziest concert story?,FIDLAR Swift
"Surprise people with a music artist they wouldn’t expect you to listen to. If there are any fans of that artist, make a blend on Spotify with them (if applicable).",FIDLAR Swift
What is your Mount Rushmore (top-4) of sandwiches?,Italy
Italians often give a shot of limoncello at the end of their meal out of courtesy. What would you give customers at the end of their meal in your restaurant?,Italy
"One of the best parts of traveling is going with your friends. On that note, make plans with this group to do some sort of activity in the near future.",Italy
"Rate the last 3 places you’ve traveled in ice cream flavors. If anyone is able to figure out any of the places, they can hand out a penalty.",Italy
"You’re tasked with opening a theme park based on your personality. What’s the main attraction, and what’s the park’s weirdest rule?",Italy
What’s the whackest thing someone can do in the airport or on a flight? What’s the whackest thing you do in the airport or on a flight?,Italy
"You’re opening a travel agency, but it only plans trips for time travelers. What’s the top destination that you try to sell?",Italy
What’s your favorite pasta?,Italy
"Often, married couples develop a sort of unspoken communication. On that note, play a round of Wavelength (look it up if you forget) where you ask the questions. If you get the number right, you can make everyone else drink twice. If you get it wrong, you must drink twice.",Ever More Golden
"Stand up, clink your glass, and give a heart-felt toast. This toast must be pulled completely out of your ass and not reflect the scenario in any way (ie. John, Liz, Kelsey, Ray, and others are out at a swanky bar in NYC. Kelsey gives a toast about the joys of co-raising a child among four friends in Utah). Remember to look each other in the eye for no bad luck. If you break character or do not commit to the toast, you must drink 3 times.",Ever More Golden
What is a pet name that you would not like your significant other to call you? Everyone at the table must call you this pet name for the rest of the game or they must take 3 drinks.,Ever More Golden
What is the best thing you have received? What is the best gift you have given?,Ever More Golden
"Name 7 gratitude moments from this week. RAPID FIRE. If you hesitate, you will get SIMMONSed.",Ever More Golden
What is your weirdest date story?,Ever More Golden
Name your favorite memory that you’ve made with each of the people at this table.,Ever More Golden
